domain,hosts_in_use,category,status,owner,owner_profile_url,age_days,registered_date,website_url,edit_domain_id,source_page
heroinewarrior.com,4283,website,private,heroineworshippe,https://freedns.afraid.org/tools/contact.php?user_id=286448&subject=heroinewarrior.com,7069,03/16/2007,http://www.heroinewarrior.com/,168268,1
minecraft.pe,4089,website,public,avaixus,https://freedns.afraid.org/tools/contact.php?user_id=2960268&subject=minecraft.pe,1849,07/01/2021,http://www.minecraft.pe/,1352229,1
h4ck.me,4052,website,public,eliteluke,https://freedns.afraid.org/tools/contact.php?user_id=350780&subject=h4ck.me,6225,07/08/2009,http://www.h4ck.me/,331901,1
zanity.net,3734,website,public,zanity,https://freedns.afraid.org/tools/contact.php?user_id=25167&subject=zanity.net,8378,08/16/2003,http://www.zanity.net/,9099,1
404.mn,3732,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=404.mn,6876,09/25/2007,http://www.404.mn/,200132,1
csproject.org,3417,website,public,yngling,https://freedns.afraid.org/tools/contact.php?user_id=115801&subject=csproject.org,7487,01/23/2006,http://www.csproject.org/,100386,1
surfnet.ca,3279,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=surfnet.ca,6826,11/14/2007,http://www.surfnet.ca/,208438,1
ohbah.com,3151,website,public,pattait,https://freedns.afraid.org/tools/contact.php?user_id=38481&subject=ohbah.com,8356,09/07/2003,http://www.ohbah.com/,9807,1
hbmc.net,3014,website,public,randyf,https://freedns.afraid.org/tools/contact.php?user_id=344620&subject=hbmc.net,6821,11/19/2007,http://www.hbmc.net/,209422,1
homelinuxserver.org,2617,website,public,snrunnels,https://freedns.afraid.org/tools/contact.php?user_id=1258304&subject=homelinuxserver.org,4733,08/07/2013,http://www.homelinuxserver.org/,917205,1
pii.at,2548,website,public,zmurk,https://freedns.afraid.org/tools/contact.php?user_id=807236&subject=pii.at,5430,09/11/2011,http://www.pii.at/,718837,1
oops.wtf,2495,website,public,xarph,https://freedns.afraid.org/tools/contact.php?user_id=1738431&subject=oops.wtf,3318,06/23/2017,http://www.oops.wtf/,1214353,1
wiki.gd,2477,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=wiki.gd,6898,09/04/2007,http://www.wiki.gd/,196782,1
bad.mn,2321,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=bad.mn,6897,09/04/2007,http://www.bad.mn/,196691,1
raspberryip.com,2304,website,public,ferrigno,https://freedns.afraid.org/tools/contact.php?user_id=543947&subject=raspberryip.com,5104,08/02/2012,http://www.raspberryip.com/,815678,1
24-7.ro,2245,website,public,mhi,https://freedns.afraid.org/tools/contact.php?user_id=368996&subject=24-7.ro,6684,04/04/2008,http://www.24-7.ro/,237096,1
iiiii.info,2225,website,public,dons,https://freedns.afraid.org/tools/contact.php?user_id=77509&subject=iiiii.info,8063,06/23/2004,http://www.iiiii.info/,22514,1
120v.ac,2113,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=120v.ac,6904,08/29/2007,http://www.120v.ac/,195718,1
host2go.net,2097,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=host2go.net,6539,08/24/2008,http://www.host2go.net/,265270,1
r-o-o-t.net,2059,website,public,limit,https://freedns.afraid.org/tools/contact.php?user_id=31914&subject=r-o-o-t.net,7984,09/10/2004,http://www.r-o-o-t.net/,28302,1
awiki.org,2058,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=awiki.org,6906,08/26/2007,http://www.awiki.org/,195045,1
photo-frame.com,2021,website,public,mwong,https://freedns.afraid.org/tools/contact.php?user_id=53163&subject=photo-frame.com,8053,07/06/2004,http://www.photo-frame.com/,23399,1
hackquest.com,1958,website,public,skyflash,https://freedns.afraid.org/tools/contact.php?user_id=71881&subject=hackquest.com,8014,08/14/2004,http://www.hackquest.com/,25851,1
madhacker.biz,1928,website,public,limit,https://freedns.afraid.org/tools/contact.php?user_id=31914&subject=madhacker.biz,8436,06/18/2003,http://www.madhacker.biz/,7870,1
blinklab.com,1897,website,public,blinklab,https://freedns.afraid.org/tools/contact.php?user_id=679002&subject=blinklab.com,5685,12/30/2010,http://www.blinklab.com/,627814,1
vr.lt,1842,website,private,wdm,https://freedns.afraid.org/tools/contact.php?user_id=236032&subject=vr.lt,7071,03/14/2007,http://www.vr.lt/,167848,1
webs.vc,1785,website,public,carlb613,https://freedns.afraid.org/tools/contact.php?user_id=323919&subject=webs.vc,6894,09/06/2007,http://www.webs.vc/,197117,1
justlearning.net,1765,website,public,jimgray,https://freedns.afraid.org/tools/contact.php?user_id=2220583&subject=justlearning.net,4149,03/15/2015,http://www.justlearning.net/,1072083,1
fin-tech.com,1759,website,public,lucafer,https://freedns.afraid.org/tools/contact.php?user_id=126213&subject=fin-tech.com,7611,09/21/2005,http://www.fin-tech.com/,72755,1
baselinux.net,1724,website,public,franmiro,https://freedns.afraid.org/tools/contact.php?user_id=156707&subject=baselinux.net,7597,10/05/2005,http://www.baselinux.net/,76591,1
0x.no,1690,website,private,royso,https://freedns.afraid.org/tools/contact.php?user_id=307500&subject=0x.no,6982,06/12/2007,http://www.0x.no/,182840,1
joe.dj,1616,website,public,kingstonez,https://freedns.afraid.org/tools/contact.php?user_id=216168&subject=joe.dj,7356,06/03/2006,http://www.joe.dj/,123689,1
thehomeserver.net,1605,website,public,mansoorseikh,https://freedns.afraid.org/tools/contact.php?user_id=813744&subject=thehomeserver.net,4277,11/07/2014,http://www.thehomeserver.net/,1034946,1
servernux.com,1444,website,public,servernux,https://freedns.afraid.org/tools/contact.php?user_id=448255&subject=servernux.com,5462,08/10/2011,http://www.servernux.com/,703915,1
